Date,Price,Open,High,Low,Change %
"Dec 23, 2022",3.751,,,,
"Dec 22, 2022",3.686,,,,
"Dec 21, 2022",3.673,,,,
"Dec 20, 2022",3.692,,,,
"Dec 19, 2022",3.59,,,,
"Dec 18, 2022",3.511,,,,
"Dec 16, 2022",3.488,,,,
"Dec 15, 2022",3.45,,,,
"Dec 14, 2022",3.479,,,,
"Dec 13, 2022",3.501,,,,
"Dec 12, 2022",3.617,,,,
"Dec 11, 2022",3.588,,,,
"Dec 09, 2022",3.586,,,,
"Dec 08, 2022",3.489,,,,
"Dec 07, 2022",3.421,,,,
"Dec 06, 2022",3.531,,,,
"Dec 05, 2022",3.583,,,,
"Dec 04, 2022",3.517,,,,
"Dec 02, 2022",3.492,,,,
"Dec 01, 2022",3.51,,,,
"Nov 30, 2022",3.611,,,,
"Nov 29, 2022",3.75,,,,
"Nov 28, 2022",3.679,,,,
"Nov 27, 2022",3.694,,,,
"Nov 25, 2022",3.691,,,,
"Nov 24, 2022",3.661,,,,
"Nov 23, 2022",3.689,,,,
"Nov 22, 2022",3.758,,,,
"Nov 21, 2022",3.84,,,,
"Nov 20, 2022",3.814,,,,
"Nov 18, 2022",3.829,,,,
"Nov 17, 2022",3.769,,,,
"Nov 16, 2022",3.69,,,,
"Nov 15, 2022",3.777,,,,
"Nov 14, 2022",3.863,,,,
"Nov 13, 2022",3.897,,,,
"Nov 10, 2022",3.811,,,,
"Nov 09, 2022",4.099,,,,
"Nov 08, 2022",4.128,,,,
"Nov 07, 2022",4.218,,,,
"Nov 06, 2022",4.163,,,,
"Nov 04, 2022",4.163,,,,
"Nov 03, 2022",4.149,,,,
"Nov 02, 2022",4.096,,,,
"Nov 01, 2022",4.048,,,,
"Oct 31, 2022",4.05,,,,
"Oct 30, 2022",4.018,,,,
"Oct 28, 2022",4.01,,,,
"Oct 27, 2022",3.927,,,,
"Oct 26, 2022",4.007,,,,
"Oct 25, 2022",4.1,,,,
"Oct 24, 2022",4.247,,,,
"Oct 23, 2022",4.208,,,,
"Oct 21, 2022",4.219,,,,
"Oct 20, 2022",4.233,,,,
"Oct 19, 2022",4.138,,,,
"Oct 18, 2022",4.007,,,,
"Oct 17, 2022",4.012,,,,
"Oct 16, 2022",4.002,,,,
"Oct 14, 2022",4.023,,,,
"Oct 13, 2022",3.95,,,,
"Oct 12, 2022",3.902,,,,
"Oct 11, 2022",3.945,,,,
"Oct 10, 2022",3.955,,,,
"Oct 07, 2022",3.888,,,,
"Oct 06, 2022",3.828,,,,
"Oct 05, 2022",3.755,,,,
"Oct 04, 2022",3.635,,,,
"Oct 03, 2022",3.643,,,,
"Oct 02, 2022",3.81,,,,
"Sep 30, 2022",3.829,,,,
"Sep 29, 2022",3.782,,,,
"Sep 28, 2022",3.737,,,,
"Sep 27, 2022",3.949,,,,
"Sep 26, 2022",3.928,,,,
"Sep 25, 2022",3.739,,,,
"Sep 23, 2022",3.687,,,,
"Sep 22, 2022",3.71,,,,
"Sep 21, 2022",3.534,,,,
"Sep 20, 2022",3.569,,,,
"Sep 19, 2022",3.494,,,,
"Sep 18, 2022",3.455,,,,
"Sep 16, 2022",3.455,,,,
"Sep 15, 2022",3.449,,,,
"Sep 14, 2022",3.404,,,,
